0.01,-0.14,0.07,16.73,22.58,1009.85,-20.88,182.70,-375.26,1.28,-0.95,265.611328
0.32,-0.09,-0.16,14.66,19.78,1008.75,-20.88,182.70,-375.26,1.12,-0.83,265.358612
0.36,0.04,-0.08,14.66,19.78,1008.75,-20.88,182.70,-375.26,1.12,-0.83,265.358612
0.06,-0.12,0.01,12.83,17.34,1007.66,-20.88,182.70,-375.26,0.99,-0.73,265.133545
0.22,-0.05,-0.08,11.12,15.02,1006.80,-20.88,182.70,-375.26,0.85,-0.63,264.920593
-0.06,-0.02,0.00,9.90,13.19,1006.07,-20.88,182.70,-375.26,0.75,-0.56,264.765472
0.03,0.03,-0.22,8.56,11.73,1005.34,-23.78,176.32,-372.94,0.67,-0.49,263.493134
0.16,-0.06,-0.12,8.56,11.73,1005.34,-23.78,176.32,-372.94,0.67,-0.49,263.493134
-0.13,0.31,-0.26,7.34,10.26,1004.48,-23.78,176.32,-372.94,0.59,-0.42,263.332520
0.11,-0.15,0.00,6.48,8.80,1004.12,-23.78,176.32,-372.94,0.50,-0.37,263.213135
-0.10,0.35,-0.06,5.63,7.70,1003.75,-23.78,176.32,-372.94,0.44,-0.32,263.098145
0.20,0.20,-0.02,5.02,6.85,1003.14,-23.78,176.32,-372.94,0.39,-0.29,263.014923
0.24,0.01,-0.05,5.02,6.85,1003.14,-19.72,180.38,-378.74,0.39,-0.29,264.435455
-0.08,0.19,-0.12,4.29,5.99,1002.65,-19.72,180.38,-378.74,0.34,-0.24,264.340118
-0.08,-0.02,0.07,3.92,5.26,1002.41,-19.72,180.38,-378.74,0.30,-0.22,264.288727
0.06,0.12,-0.14,3.80,4.65,1002.29,-19.72,180.38,-378.74,0.27,-0.22,264.267273
0.02,0.42,0.01,3.31,4.16,1002.04,-19.72,180.38,-378.74,0.24,-0.19,264.204132
-0.19,0.01,-0.09,3.31,4.16,1002.04,-19.72,180.38,-378.74,0.24,-0.19,264.204132
-0.10,-0.02,0.00,3.07,3.80,1001.68,-21.46,181.54,-374.68,0.22,-0.18,263.664673
-0.16,0.17,-0.01,2.58,3.19,1001.43,-21.46,181.54,-374.68,0.18,-0.15,263.600403
0.04,-0.15,0.07,2.21,2.82,1001.31,-21.46,181.54,-374.68,0.16,-0.13,263.553223
0.05,-0.03,0.15,2.09,2.70,1001.31,-21.46,181.54,-374.68,0.15,-0.12,263.537476
0.20,0.02,0.10,2.09,2.70,1001.31,-21.46,181.54,-374.68,0.15,-0.12,263.537476
0.01,0.05,0.02,1.85,2.33,1001.19,-21.46,181.54,-374.68,0.13,-0.11,263.504395
0.22,-0.04,0.15,1.60,1.84,1001.19,-21.46,181.54,-374.68,0.11,-0.09,263.469604
-0.23,-0.09,0.08,1.36,1.60,1001.19,-18.56,183.86,-374.10,0.09,-0.08,264.410400
-0.38,0.03,-0.24,1.24,1.48,1001.07,-18.56,183.86,-374.10,0.08,-0.07,264.394989
-0.09,-0.05,-0.17,1.24,1.48,1001.07,-18.56,183.86,-374.10,0.08,-0.07,264.394989
0.23,-0.10,0.10,1.11,1.23,1000.82,-18.56,183.86,-374.10,0.07,-0.06,264.378235
0.03,0.11,-0.04,1.11,1.11,1000.70,-18.56,183.86,-374.10,0.06,-0.06,264.376892
0.13,0.05,-0.03,0.99,1.11,1000.58,-18.56,183.86,-374.10,0.06,-0.06,264.362854
0.01,0.17,-0.28,0.87,0.87,1000.46,-20.30,183.28,-375.84,0.05,-0.05,263.791626
-0.10,-0.08,-0.21,0.87,0.87,1000.46,-20.30,183.28,-375.84,0.05,-0.05,263.791626
0.02,-0.30,0.16,0.87,0.62,1000.34,-20.30,183.28,-375.84,0.04,-0.05,263.788574
-0.13,0.44,-0.30,0.75,0.50,1000.46,-20.30,183.28,-375.84,0.03,-0.04,263.772888
0.10,0.03,-0.06,0.63,0.38,1000.21,-20.30,183.28,-375.84,0.02,-0.04,263.757202
0.23,0.00,-0.02,0.63,0.26,1000.09,-20.30,183.28,-375.84,0.01,-0.04,263.755676
-0.15,-0.07,0.10,0.63,0.26,1000.09,-21.46,179.22,-372.94,0.01,-0.04,263.249023
-0.01,-0.43,0.33,0.50,0.26,1000.34,-21.46,179.22,-372.94,0.01,-0.03,263.234680
0.17,-0.22,0.08,0.50,0.26,1000.34,-21.46,179.22,-372.94,0.01,-0.03,263.234680
0.08,-0.18,0.35,0.50,0.14,1000.09,-21.46,179.22,-372.94,0.01,-0.03,263.233002
0.01,0.09,0.03,0.38,0.26,1000.21,-21.46,179.22,-372.94,0.01,-0.02,263.220367
0.36,-0.09,0.14,0.38,0.26,1000.21,-21.46,179.22,-372.94,0.01,-0.02,263.220367
0.10,-0.31,-0.07,0.50,0.01,1000.09,-21.46,180.96,-374.10,0.00,-0.03,263.295959
0.17,-0.19,-0.05,0.26,0.01,1000.09,-21.46,180.96,-374.10,0.00,-0.01,263.267456
0.11,0.27,0.12,0.14,0.14,1000.09,-21.46,180.96,-374.10,0.01,-0.01,263.254913
-0.04,0.17,-0.00,0.14,0.14,1000.09,-21.46,180.96,-374.10,0.01,-0.01,263.254913
0.04,0.08,0.07,0.38,0.01,1000.09,-21.46,180.96,-374.10,0.00,-0.02,263.281738
-0.50,0.26,-0.05,0.26,0.14,999.97,-21.46,180.96,-374.10,0.01,-0.01,263.269165
0.11,-0.03,-0.00,0.14,0.26,999.85,-21.46,180.96,-374.10,0.01,-0.01,263.256592
-0.20,0.12,0.04,0.26,0.26,999.85,-24.94,178.06,-378.74,0.01,-0.01,262.062134
-0.07,0.49,0.07,0.26,0.26,999.85,-24.94,178.06,-378.74,0.01,-0.01,262.062134
0.06,0.10,-0.02,0.02,0.26,999.85,-24.94,178.06,-378.74,0.01,-0.00,262.032959
0.04,0.34,-0.07,0.02,0.26,999.85,-24.94,178.06,-378.74,0.01,-0.00,262.032959
0.04,0.25,-0.03,0.02,0.26,1000.09,-24.94,178.06,-378.74,0.01,-0.00,262.032959
0.02,0.17,-0.26,0.02,0.26,1000.21,-24.94,178.06,-378.74,0.01,-0.00,262.032959
0.12,-0.01,0.21,0.02,0.26,1000.21,-16.82,186.76,-367.14,0.01,-0.00,264.858093
-0.20,0.04,0.28,0.14,0.14,1000.21,-16.82,186.76,-367.14,0.01,-0.01,264.870483
-0.02,0.00,-0.27,0.14,0.14,1000.21,-16.82,186.76,-367.14,0.01,-0.01,264.870483
-0.25,0.29,-0.19,0.26,0.26,1000.09,-16.82,186.76,-367.14,0.01,-0.01,264.885345
0.08,0.17,0.02,0.38,0.14,1000.09,-16.82,186.76,-367.14,0.01,-0.02,264.897766
-0.02,-0.02,-0.12,0.38,0.14,1000.09,-16.82,186.76,-367.14,0.01,-0.02,264.897766
-0.12,-0.09,-0.07,0.26,0.26,1000.34,-21.46,179.80,-376.42,0.01,-0.01,263.228058
