Orientation - Roll: -0.04°, Pitch: -0.01°, Yaw: 240.49°
Orientation - Roll: -0.04°, Pitch: -0.00°, Yaw: 240.49°
Orientation - Roll: -0.04°, Pitch: -0.00°, Yaw: 240.49°
Orientation - Roll: -0.04°, Pitch: -0.00°, Yaw: 240.49°
Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.61°
Orientation - Roll: -0.03°, Pitch: -0.00°, Yaw: 240.61°
Orientation - Roll: -0.04°, Pitch: -0.02°, Yaw: 240.61°
Orientation - Roll: -0.04°, Pitch: -0.02°, Yaw: 240.61°
Orientation - Roll: -0.04°, Pitch: -0.02°, Yaw: 240.61°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.62°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.62°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.62°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.62°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 240.20°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 240.20°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.20°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.20°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.19°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 240.19°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 240.19°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.19°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.19°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.84°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.84°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.84°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.85°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.85°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.84°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.84°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.85°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 240.85°
Orientation - Roll: -0.01°, Pitch: -0.04°, Yaw: 240.44°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 240.44°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 240.44°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 240.44°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 240.44°
Orientation - Roll: -0.02°, Pitch: -0.04°, Yaw: 240.44°
Orientation - Roll: -0.02°, Pitch: -0.04°, Yaw: 240.44°
Orientation - Roll: -0.01°, Pitch: -0.04°, Yaw: 240.44°
Orientation - Roll: -0.02°, Pitch: -0.04°, Yaw: 240.44°
Orientation - Roll: -0.02°, Pitch: -0.04°, Yaw: 241.20°
Orientation - Roll: -0.03°, Pitch: -0.05°, Yaw: 241.20°
Orientation - Roll: -0.03°, Pitch: -0.05°, Yaw: 241.20°
Orientation - Roll: -0.04°, Pitch: -0.06°, Yaw: 241.21°
Orientation - Roll: -0.04°, Pitch: -0.06°, Yaw: 241.21°
Orientation - Roll: -0.04°, Pitch: -0.05°, Yaw: 241.20°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 241.20°
Orientation - Roll: -0.03°, Pitch: -0.04°, Yaw: 241.20°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 241.19°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.16°
Orientation - Roll: -0.04°, Pitch: -0.01°, Yaw: 240.15°
Orientation - Roll: -0.04°, Pitch: -0.01°, Yaw: 240.15°
Orientation - Roll: -0.05°, Pitch: -0.00°, Yaw: 240.15°
Orientation - Roll: -0.05°, Pitch: -0.00°, Yaw: 240.15°
Orientation - Roll: -0.05°, Pitch: 0.01°, Yaw: 240.15°
Orientation - Roll: -0.05°, Pitch: 0.01°, Yaw: 240.15°
Orientation - Roll: -0.05°, Pitch: 0.01°, Yaw: 240.15°
Orientation - Roll: -0.05°, Pitch: -0.01°, Yaw: 240.91°
Orientation - Roll: -0.05°, Pitch: -0.01°, Yaw: 240.91°
Orientation - Roll: -0.05°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.05°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.04°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.04°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.04°, Pitch: -0.02°, Yaw: 240.91°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 241.30°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 241.30°
Orientation - Roll: -0.04°, Pitch: -0.01°, Yaw: 241.30°
Orientation - Roll: -0.03°, Pitch: 0.01°, Yaw: 241.30°
Orientation - Roll: -0.03°, Pitch: 0.01°, Yaw: 241.30°
Orientation - Roll: -0.03°, Pitch: 0.02°, Yaw: 241.29°
Orientation - Roll: -0.03°, Pitch: 0.02°, Yaw: 241.29°
Orientation - Roll: -0.03°, Pitch: 0.02°, Yaw: 241.29°
Orientation - Roll: -0.03°, Pitch: 0.02°, Yaw: 241.29°
Orientation - Roll: -0.02°, Pitch: 0.03°, Yaw: 240.09°
Orientation - Roll: -0.02°, Pitch: 0.03°, Yaw: 240.09°
Orientation - Roll: -0.02°, Pitch: 0.03°, Yaw: 240.09°
Orientation - Roll: -0.01°, Pitch: 0.02°, Yaw: 240.10°
Orientation - Roll: -0.01°, Pitch: 0.02°, Yaw: 240.10°
Orientation - Roll: -0.01°, Pitch: 0.01°, Yaw: 240.10°
Orientation - Roll: -0.01°, Pitch: 0.01°, Yaw: 240.10°
Orientation - Roll: -0.01°, Pitch: -0.00°, Yaw: 240.11°
Orientation - Roll: -0.01°, Pitch: -0.00°, Yaw: 240.11°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.51°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.51°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.51°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.51°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.51°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.51°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.51°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 240.51°
Orientation - Roll: -0.01°, Pitch: -0.03°, Yaw: 240.51°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 239.55°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 239.55°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 239.55°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 239.55°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 239.55°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 239.55°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 239.55°
Orientation - Roll: -0.02°, Pitch: -0.00°, Yaw: 239.55°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 239.55°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.43°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.43°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.43°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 240.43°
Orientation - Roll: -0.02°, Pitch: -0.01°, Yaw: 240.43°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.43°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.43°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.43°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.43°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.38°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 241.38°
Orientation - Roll: 0.00°, Pitch: -0.02°, Yaw: 241.38°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 241.38°
Orientation - Roll: 0.00°, Pitch: -0.01°, Yaw: 241.38°
Orientation - Roll: 0.00°, Pitch: -0.01°, Yaw: 241.38°
Orientation - Roll: -0.01°, Pitch: -0.00°, Yaw: 241.37°
Orientation - Roll: -0.01°, Pitch: -0.00°, Yaw: 241.37°
Orientation - Roll: -0.01°, Pitch: 0.01°, Yaw: 241.37°
Orientation - Roll: -0.01°, Pitch: 0.01°, Yaw: 240.41°
Orientation - Roll: -0.01°, Pitch: -0.00°, Yaw: 240.41°
Orientation - Roll: -0.01°, Pitch: -0.00°, Yaw: 240.41°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.42°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.41°
Orientation - Roll: -0.01°, Pitch: -0.01°, Yaw: 240.41°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.42°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.42°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.29°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.29°
Orientation - Roll: -0.01°, Pitch: -0.02°, Yaw: 240.29°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.29°
Orientation - Roll: -0.02°, Pitch: -0.02°, Yaw: 240.29°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.28°
Orientation - Roll: -0.03°, Pitch: -0.02°, Yaw: 240.28°
Orientation - Roll: -0.03°, Pitch: -0.01°, Yaw: 240.28°
Orientation - Roll: -0.03°, Pitch: -0.01°, Yaw: 240.28°
